YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2018,MO,29.0,407809,72,0.5654,0.4346,0.1372,290635,0.7127,4481.8555,167238,0.4101,410.089
2018,MS,28.0,106611,70,0.5588,0.4412,0.3175,75551,0.7087,4277.2697,47617,0.4466,446.6425
2018,MT,30.0,40492,73,0.5418,0.4582,0.0782,32874,0.8119,6387.2864,9184,0.2268,226.8102
2018,NC,37.0,660078,72,0.5843,0.4157,0.1399,439245,0.6654,3846.1394,226458,0.3431,343.0776
2018,ND,38.0,23131,76,0.549,0.451,0.0669,3141,0.1358,1396.9132,1158,0.0501,50.0627
2018,NE,31.0,48510,73,0.5591,0.4409,0.1439,30560,0.63,4507.1325,15984,0.3295,329.4991
2018,NH,33.0,37222,72,0.5538,0.4462,0.0831,31409,0.8438,7159.2875,12860,0.3455,345.4946
2018,NJ,34.0,359619,73,0.5597,0.4403,0.1565,196737,0.5471,2954.3016,149557,0.4159,415.8762
2018,NM,35.0,139396,72,0.5642,0.4358,0.284,82562,0.5923,3529.7713,49824,0.3574,357.4278
2018,NV,32.0,183533,73,0.5568,0.4432,0.1239,71892,0.3917,1502.362,61169,0.3333,333.2861
2018,NY,36.0,1409406,73,0.5772,0.4228,0.3007,850434,0.6034,4020.9322,550953,0.3909,390.9115
2018,National,,21062539,73,0.5645,0.4355,0.1939,12597658,0.5981,3460.2264,7644572,0.3629,362.9464
2018,OH,39.0,931803,73,0.5744,0.4256,0.1655,716908,0.7694,5667.4093,411290,0.4414,441.3916
2018,OK,40.0,138447,73,0.5619,0.4381,0.1329,95275,0.6882,3711.3336,58564,0.423,423.0066
2018,OR,41.0,376858,73,0.568,0.432,0.1586,238041,0.6316,3585.5495,122761,0.3257,325.7487
2018,PA,42.0,1118141,74,0.5693,0.4307,0.1922,879128,0.7862,5093.5454,471120,0.4213,421.3422
2018,PR,72.0,573191,71,0.5447,0.4553,,284831,0.4969,1525.8561,300221,0.5238,523.7713
2018,RI,44.0,95000,73,0.5843,0.4157,0.2766,68249,0.7184,4496.8316,41386,0.4356,435.6421
2018,SC,45.0,281607,71,0.5744,0.4256,0.2733,193067,0.6856,3712.3651,124570,0.4424,442.3541
2018,SD,46.0,35282,76,0.5515,0.4485,0.073,8690,0.2463,2139.5896,2677,0.0759,75.8744
2018,TN,47.0,504806,70,0.5624,0.4376,0.2841,335554,0.6647,3396.6791,222170,0.4401,440.1097
2018,TX,48.0,1505159,72,0.5687,0.4313,0.2258,858609,0.5704,3087.8093,582649,0.3871,387.1013
2018,UT,49.0,139973,72,0.5496,0.4504,0.1132,93709,0.6695,3715.4737,34570,0.247,246.9762
2018,VA,51.0,284720,72,0.5663,0.4337,0.1476,172300,0.6052,3203.9934,109094,0.3832,383.1624
2018,VI,78.0,271,73,0.5314,0.4686,,102,0.3764,2811.8081,69,0.2546,254.6125
2018,VT,50.0,14560,73,0.5433,0.4567,0.0935,12178,0.8364,6143.6813,4518,0.3103,310.3022
2018,WA,53.0,420369,72,0.5634,0.4366,0.1559,225307,0.536,2856.2144,121707,0.2895,289.5242
2018,WI,55.0,474092,74,0.5555,0.4445,0.1125,316446,0.6675,4929.4103,142270,0.3001,300.0894
2018,WV,54.0,135638,73,0.5445,0.4555,0.1008,97133,0.7161,5417.6927,50127,0.3696,369.5646
2018,WY,56.0,4094,74,0.5286,0.4714,0.107,2369,0.5787,3657.3034,1346,0.3288,328.7738
2019,AK,2.0,1494,74,0.5074,0.4926,0.091,878,0.5877,3544.8461,555,0.3715,371.4859
2019,AL,1.0,437600,70,0.5722,0.4278,0.2407,294184,0.6723,3165.2742,172017,0.3931,393.0919
2019,AR,5.0,164405,69,0.56,0.44,0.3128,115475,0.7024,4207.0497,73204,0.4453,445.2663
2019,AZ,4.0,531612,72,0.5638,0.4362,0.2613,248813,0.468,2029.0475,180912,0.3403,340.3083
2019,CA,6.0,2717956,74,0.5619,0.4381,0.1881,1356184,0.499,2057.4332,862804,0.3174,317.4459
2019,CO,8.0,377176,74,0.5643,0.4357,0.1266,185639,0.4922,2453.6079,108815,0.2885,288.4993
2019,CT,9.0,278405,74,0.5698,0.4302,0.2933,192022,0.6897,4476.4606,110526,0.397,396.9972
2019,DC,11.0,16784,72,0.6146,0.3854,0.5661,8590,0.5118,3639.1802,10248,0.6106,610.5815
2019,DE,10.0,32768,72,0.5575,0.4425,0.206,22275,0.6798,4044.0674,13742,0.4194,419.3726
2019,FL,12.0,2075549,73,0.5551,0.4449,0.2558,924527,0.4454,1957.1675,749547,0.3611,361.1319
2019,GA,13.0,677051,71,0.5861,0.4139,0.2563,447898,0.6615,3585.7845,285004,0.4209,420.9491
2019,HI,15.0,125045,75,0.5671,0.4329,0.2284,85455,0.6834,3736.3589,42300,0.3383,338.2782
2019,IA,19.0,139615,73,0.5493,0.4507,0.1852,92217,0.6605,5112.2086,43343,0.3104,310.4466
2019,ID,16.0,112909,73,0.5534,0.4466,0.1337,91262,0.8083,6962.2705,31195,0.2763,276.2844
2019,IL,17.0,592718,73,0.5687,0.4313,0.1733,415604,0.7012,4813.9841,232620,0.3925,392.4632
2019,IN,18.0,398219,73,0.556,0.444,0.1554,308053,0.7736,5393.2032,158455,0.3979,397.9092
2019,KS,20.0,98419,73,0.5557,0.4443,0.165,60619,0.6159,3920.6962,38231,0.3885,388.4514
2019,KY,21.0,308388,71,0.5658,0.4342,0.1348,225656,0.7317,4620.2317,120153,0.3896,389.6163
2019,LA,22.0,327500,71,0.5571,0.4429,0.2788,252538,0.7711,5318.4641,142712,0.4358,435.7618
2019,MA,25.0,324003,74,0.5777,0.4223,0.2831,253306,0.7818,6282.911,144160,0.4449,444.9342
2019,MD,24.0,123739,73,0.585,0.415,0.1679,44215,0.3573,1912.3478,46606,0.3766,376.6476
2019,ME,23.0,119362,72,0.5385,0.4615,0.2062,103850,0.87,8856.4451,36969,0.3097,309.7217
2019,MI,26.0,861118,73,0.5493,0.4507,0.1111,671649,0.78,5691.0737,308354,0.3581,358.0857
2019,MN,27.0,466613,74,0.5576,0.4424,0.1173,243689,0.5223,3379.4215,97162,0.2082,208.2282
2019,MO,29.0,454822,72,0.5674,0.4326,0.1425,330373,0.7264,4868.1022,188652,0.4148,414.782
2019,MS,28.0,116031,70,0.5591,0.4409,0.3359,83071,0.7159,4508.4762,52975,0.4566,456.559
2019,MT,30.0,43973,73,0.5413,0.4587,0.0914,35881,0.816,6738.4077,10246,0.233,233.0066
2019,NC,37.0,734074,72,0.5867,0.4133,0.1626,499331,0.6802,4134.4715,263541,0.359,359.0115
2019,ND,38.0,24047,76,0.5483,0.4517,0.0712,4091,0.1701,1827.255,1563,0.065,64.9977
2019,NE,31.0,56900,72,0.5595,0.4405,0.1809,36783,0.6464,4795.29,18195,0.3198,319.7715
2019,NH,33.0,54848,72,0.5565,0.4435,0.0864,46834,0.8539,7631.2901,19812,0.3612,361.2165
2019,NJ,34.0,470354,73,0.5659,0.4341,0.149,265628,0.5647,3250.9514,185182,0.3937,393.7077
2019,NM,35.0,151506,72,0.5638,0.4362,0.2847,105310,0.6951,4529.1342,55637,0.3672,367.2264
2019,NV,32.0,198150,73,0.5566,0.4434,0.1276,79382,0.4006,1589.4575,72337,0.3651,365.0618
2019,NY,36.0,1473319,73,0.5767,0.4233,0.3089,897833,0.6094,4135.5939,576000,0.391,390.954
2019,National,,22641201,73,0.565,0.435,0.2013,14032665,0.6198,3720.8633,8504239,0.3756,375.609
2019,OH,39.0,994989,73,0.5739,0.4261,0.1805,772452,0.7763,5989.1496,450831,0.4531,453.1015
2019,OK,40.0,158096,72,0.5629,0.4371,0.1573,111320,0.7041,3993.3711,71320,0.4511,451.1183
2019,OR,41.0,394970,73,0.5673,0.4327,0.1604,253792,0.6426,3744.4236,126205,0.3195,319.5306
2019,PA,42.0,1167187,73,0.5683,0.4317,0.1986,922955,0.7908,5168.5711,480778,0.4119,411.9117
2019,PR,72.0,591657,71,0.5471,0.4529,,296884,0.5018,1518.4423,309192,0.5226,522.5866
2019,RI,44.0,99628,72,0.5831,0.4169,0.2814,73081,0.7335,4698.7493,41805,0.4196,419.611
2019,SC,45.0,316154,71,0.5738,0.4262,0.2732,217561,0.6881,3804.1524,140189,0.4434,443.42
2019,SD,46.0,37192,76,0.5523,0.4477,0.0825,10814,0.2908,2712.4919,3372,0.0907,90.6647
2019,TN,47.0,540938,70,0.5631,0.4369,0.2926,360957,0.6673,3467.6506,240117,0.4439,443.8901
2019,TX,48.0,1635415,72,0.5693,0.4307,0.2301,948810,0.5802,3313.5975,654569,0.4002,400.2464
